대표게임,RPG,위쳐3,CD PROJEKT RED,REDengine3,2015,PS4,PS5,SWITCH,Windows,XBOX
대표게임,RPG,검은사막,PEARL ABYSS,검은사막엔진,2015,Windows,PS4,XBOX,,
대표게임,RPG,로스트아크,TRIPOD,UNREAL ENGINE,2019,Windows,macOS,,,
대표게임,RPG,리그오브레전드,RIOT,자체엔진,2009,Windows,macOS,,,
대표게임,AOS,리그오브레전드,RIOT,자체엔진,2009,Windows,macOS,,,
대표게임,AOS,히어로즈 오브 더 스톰,BLIZZARD,스타크래프트2 기반엔진,2015,Windows,macOS,,,
대표게임,AOS,모바일 레전드,MOONTON,Unity,2016,android,iOS,,,
대표게임,FPS,서든어택,넥슨GT,주피터 엔진,2005,Windows,,,,
대표게임,FPS,오버워치,BLIZZARD,탱크 엔진,2016,Windows,PS4,XBOX,SWITCH,
대표게임,FPS,배틀그라운드,PUBG,언리얼엔진4,2018,Windows,PS4,XOBX,STADIA,
대표게임,시뮬레이션,플래닛 주,프론티어 디벨롭먼트,코브라 엔진,2019,Windows,,,,
대표게임,시뮬레이션,유로 트럭 시뮬레이터2,SCS 소프트웨어,Prism3D,2012,Windows,SteamOS,우분투,macOS,
대표게임,시뮬레이션,심즈4,maxis,SmartSim,2014,Windows,macOS,PS4,XBOX,
대표게임,시뮬레이션,이브 온라인,CCP Games,자체엔진,2003,Windows,macOS,,,
대표게임,스포츠,FIFA온라인4,EA 코리아 스튜디오,이그나이트 엔진,2018,Windows,,,,
